1,コライドン
2,ディンルー
3,パオジアン
4,バドレックス
5,ミライドン
6,ヘイラッシャ
7,ウーラオス
8,ランドロス
9,ハバタクカミ
10,グライオン
11,ザシアン
12,ルナアーラ
13,ホウオウ
14,ミミッキュ
15,カイリュー
16,カイオーガ
17,キラフロル
18,オーロンゲ
19,バドレックス
20,オーガポン
21,キョジオーン
22,ガチグマ
23,テツノワダチ
24,メタモン
25,イーユイ
26,オオニューラ
27,ドオー
28,テラパゴス
29,ムゲンダイナ
30,ブリジュラス
31,ママンボウ
32,ゴリランダー
33,マタドガス
34,ガチグマ
35,ベトベトン
36,ガオガエン
37,ハッサム
38,ネクロズマ
39,ザマゼンタ
40,バンギラス
41,ラウドボーン
42,レックウザ
43,アシレーヌ
44,ルギア
45,ウーラオス
46,マスカーニャ
47,テツノブジン
48,キュレム
49,ラッキー
50,チオンジェン
51,サーフゴー
52,ドーブル
53,ポリゴン２
54,エルフーン
55,テツノツツミ
56,ドドゲザン
57,グラードン
58,キノガッサ
59,ドラパルト
60,マリルリ
61,イダイナキバ
62,トドロクツキ
63,オリーヴァ
64,ソウブレイズ
65,キュウコン
66,ヌメルゴン
67,カバルドン
68,ブラッキー
69,ドヒドイデ
70,ウネルミナモ
71,テツノカイナ
72,バシャーモ
73,ガブリアス
74,ラグラージ
75,ハリーマン
76,アラブルタケ
77,ヒードラン
78,アーマーガア
79,ブリムオン
80,セグレイブ
81,テツノドクガ
82,マンムー
83,ギラティナ
84,タケルライコ
85,イダイトウ
86,ゴチルゼル
87,キュレム
88,コノヨザル
89,ギャラドス
90,トリトドン
91,ウルガモス
92,パルシェン
93,ペリッパー
94,ミュウツー
95,ゾロアーク
96,ジャローダ
97,サンダー
98,カビゴン
99,エーフィ
100,ゲンガー
101,サケブシッポ
102,ラティオス
103,フォレトス
104,オニシズクモ
105,ロトム
106,ニンフィア
107,イエッサン
108,ハピナス
109,ドリュウズ
110,エアームド
111,イッカネズミ
112,ヤバソチャ
113,ウガツホムラ
114,レシラム
115,サダイジャ
116,メタグロス
117,パーモット
118,ヤミラミ
119,ウインディ
120,クエスパトラ
121,ラティアス
122,クレセリア
123,レジエレキ
124,サーナイト
125,ロトム
126,ルカリオ
127,バサギリ
128,エースバーン
129,エンニュート
130,ピクシー
131,タギングル
132,シャンデラ
133,テツノカシラ
134,サザンドラ
135,モロバレル
136,エンテイ
137,ドンファン
138,ゲッコウガ
139,グレンアルマ
140,ボーマンダ
141,アブリボン
142,ウェーニバル
143,ジバコイル
144,フワライド
145,フシギバナ
146,ダイケンキ
147,ゼクロム
148,デンチュラ
149,クレベース
150,デカヌチャン
