1,ディンルー
2,バドレックス
3,パオジアン
4,コライドン
5,ミライドン
6,ヘイラッシャ
7,ウーラオス
8,ザシアン
9,ランドロス
10,グライオン
11,ハバタクカミ
12,ルナアーラ
13,ホウオウ
14,カイリュー
15,ミミッキュ
16,カイオーガ
17,メタモン
18,テツノワダチ
19,バドレックス
20,キョジオーン
21,オーガポン
22,キラフロル
23,ガチグマ
24,オーロンゲ
25,テラパゴス
26,ドオー
27,イーユイ
28,ママンボウ
29,オオニューラ
30,ブリジュラス
31,マタドガス
32,ムゲンダイナ
33,ガチグマ
34,レックウザ
35,バンギラス
36,ガオガエン
37,ゴリランダー
38,ハッサム
39,マスカーニャ
40,アシレーヌ
41,ネクロズマ
42,テツノブジン
43,ベトベトン
44,ウーラオス
45,ルギア
46,ソウブレイズ
47,キュレム
48,ドドゲザン
49,サーフゴー
50,ドーブル
51,テツノツツミ
52,チオンジェン
53,キノガッサ
54,ヌメルゴン
55,マリルリ
56,ラウドボーン
57,ポリゴン２
58,エルフーン
59,ザマゼンタ
60,カバルドン
61,ヒードラン
62,キュウコン
63,グラードン
64,アラブルタケ
65,ドラパルト
66,イダイナキバ
67,ラッキー
68,テツノドクガ
69,バシャーモ
70,ドリュウズ
71,ウネルミナモ
72,テツノカイナ
73,トリトドン
74,オリーヴァ
75,イダイトウ
76,アーマーガア
77,サンダー
78,ウガツホムラ
79,ブリムオン
80,ガブリアス
81,トドロクツキ
82,ピクシー
83,エンニュート
84,キュワワー
85,クレセリア
86,エクスレッグ
87,ギラティナ
88,タケルライコ
89,コノヨザル
90,メタグロス
91,ドヒドイデ
92,サケブシッポ
93,セグレイブ
94,ギャラドス
95,ロトム
96,ネッコアラ
97,アブリボン
98,ヤミラミ
99,ゴチルゼル
100,ゾロアーク
101,ヤバソチャ
102,キュレム
103,ブラッキー
104,フワライド
105,ドレディア
106,マンムー
107,ラグラージ
108,イエッサン
109,パルシェン
110,ウルガモス
111,ゴウカザル
112,ドンファン
113,ハリーマン
114,サダイジャ
115,ルカリオ
116,ペリッパー
117,クレベース
118,ラティアス
119,ピカチュウ
120,シザリガー
121,ドクロッグ
122,ダグトリオ
123,カビゴン
124,エンテイ
125,エーフィ
126,オニシズクモ
127,ジュナイパー
128,パーモット
129,オノノクス
130,イエッサン
131,ラブトロス
132,ハピナス
133,エアームド
134,ウインディ
135,ゲッコウガ
136,ダイケンキ
137,レシラム
138,レジエレキ
139,ケンタロス
140,パルキア
141,ラティオス
142,マホイップ
143,テツノカシラ
144,カミッチュ
145,キュウコン
146,グレンアルマ
147,マルマイン
148,ミュウツー
149,キチキギス
150,ボルトロス
